"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"DESCRIPTION";"DISTRIBUTOR";"DISTRIBUTOR_PART_NUMBER";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"NOTES";"PACKAGE";"PIE-INT-REF-NUM";"PROD_ID";"SF_ID";"SOURCELIBRARY";"VALUE";"VENDOR";
"2";"";"4X-0603";"4X-0603";"R4, R5";"330: https://www.digikey.com/product-detail/en/panasonic-electronic-components/EXB-38V331JV/Y9331CT-ND/256586";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"CAP0402-CAP";"0402-CAP";"C9, C10, C11, C12";"Capacitor";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";
"1";"";"CAP0603-CAP";"0603-CAP";"C7";"Capacitor";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";
"1";"";"CRYSTAL10.5X4.8";"CRYSTAL-SMD-10.5X4.8-2PIN";"Y1";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";"";"";"";"";"";"";"CRYSTAL";"";"";"";"";"";
"2";"";"M041X04-MTA";"1X04-MTA";"ENC1, ENC2";"4-pin 0.1-inch header and MTA connector";"";"";"";"";"";"";"";"";"MTA";"";"";"";"";"";
"2";"0.1 µF";"CAP0603-CAP";"0603-CAP";"C1, C3";"Capacitor";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";
"3";"10k";"R-US_R0603";"R0603";"R1, R2, R3";"RESISTOR, American symbol";"";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";">VALUE";"";
"2";"18pF";"CAP0603-CAP";"0603-CAP";"C5, C6";"Capacitor";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";
"1";"1uF";"CAP0603-CAP";"0603-CAP";"C8";"Capacitor";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";
"2";"22";"R-US_R0603";"R0603";"R6, R7";"RESISTOR, American symbol";"";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";">VALUE";"";
"1";"32U4";"ATMEGA32U4QFN";"QFN-44";"U1";"Atmel MCU, 32KByte";"";"";"";"";"";"";"";"";"";"IC-10828";"";"";"32U4";"";
"1";"330";"R-US_R0603";"R0603";"R8";"RESISTOR, American symbol";"";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";">VALUE";"";
"2";"47 µF";"CAP1206";"1206";"C2, C4";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"ANDERSONVERTICAL";"ANDERSONVERTICAL";"ANDERSON_VERTICAL";"CONN1, CONN2, CONN3";"2-pin 25A Anderson Connector";"";"";"";"";"";"";"";"";"Anderson";"";"";"";"";"";
"1";"AVR_SPI_PRG_6MA03-2";"AVR_SPI_PRG_6MA03-2";"MA03-2";"J2";"AVR ISP 6 Pin";"";"";"";"";"";"";"";"";"BULK-STOCK";"";"";"";"";"";
"2";"DRV8872DDAR";"DRV8872DDAR";"DDA0008H_N_TEX";"MC1, MC2";"";"Texas_Instrument_Team";"";"";"";"";"DRV8872DDAR";"";"";"";"";"";"TI_2019-01-17";"";"Texas Instruments";
"1";"GREEN";"LED0805";"LED-0805";"LED3";"LEDs";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"";
"2";"LELON_ELECTROLYTIC_CAP";"LELON_ELECTROLYTIC_CAP";"LELON_CAP";"C13, C14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"RED";"LED0805";"LED-0805";"LED1, LED4, LED5";"LEDs";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"";
"1";"USB_B_PTH";"USB_B_PTH";"USB-B-PTH";"J1";"USB Type B Connector";"";"";"";"";"";"";"";"";"";"CONN-08278";"PRT-00139";"";"";"";
"1";"YELLOW";"LED0805";"LED-0805";"LED2";"LEDs";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"";
