Designator,Mid X,Mid Y,Layer,Rotation
C1,81.92,30.48,Top,180
C2,81.92,25.4,Top,180
C3,81.92,55.88,Top,180
C4,81.92,50.8,Top,180
C5,57.4,39.62,Top,0
C6,48.9,39.62,Top,0
C7,50.14,64.08,Top,180
C8,37.47,55.37,Top,0
C9,58.55,61.98,Top,180
C10,48.51,60.58,Top,0
C11,52.45,49.78,Top,90
C12,61.21,55.75,Top,180
C13,84.45,76.58,Top,0
C14,84.32,82.55,Top,0
LED1,63.25,74.93,Top,270
LED2,55.63,74.93,Top,270
LED3,48.51,74.42,Top,270
LED4,42.04,74.42,Top,270
LED5,69.34,74.8,Top,270
MC1,81.92,60.96,Top,270
MC2,81.92,38.1,Top,270
R1,74.17,59.05,Top,0
R2,73.66,36.2,Top,0
R3,48.64,50.29,Top,180
R4,55.24,81.75,Top,180
R5,54.86,32.22,Top,180
R6,37.59,61.47,Top,0
R7,37.47,58.42,Top,0
R8,69.22,81.79,Top,90
U1,53.98,57.15,Top,0
Y1,53.72,44.07,Top,0
