Designator,Mid X,Mid Y,Layer,Rotation
C1,56.39mm,30.99mm,Top,270
C2,62.74mm,31.75mm,Top,270
C3,59.94mm,31.62mm,Top,270
C4,63.12mm,16.51mm,Top,0
C5,40.64mm,46.48mm,Top,270
C6,38.61mm,46.48mm,Top,270
C8,47.12mm,50.04mm,Top,180
C9,36.2mm,52.96mm,Top,0
C10,83.19mm,18.54mm,Top,90
C12,107.33mm,43.53mm,Top,180
C13,107.48mm,34.4mm,Top,180
C15,77.6mm,28.58mm,Top,0
C16,88.52mm,24mm,Top,90
C17,54.1mm,30.86mm,Top,270
C18,36.2mm,58.93mm,Top,0
C19,36.2mm,56.01mm,Top,0
D2,53.47mm,24.38mm,Top,270
L1,32.31mm,49.02mm,Top,270
LED1,99.82mm,10.16mm,Top,270
LED2,100.2mm,74.55mm,Top,0
LED3,100.2mm,69.34mm,Top,0
LED4,100.08mm,64.26mm,Top,0
LED5,95.12mm,10.29mm,Top,270
M1,33.78mm,23.11mm,Top,90
R1,50.04mm,22.61mm,Top,270
R2,65.79mm,31.75mm,Top,270
R3,72.39mm,32mm,Top,90
R4,75.31mm,32mm,Top,90
R5,66.8mm,17.02mm,Top,270
R6,69.47mm,32mm,Top,270
R7,31.37mm,15.75mm,Top,180
R8,44.83mm,43.05mm,Top,0
R10,53.21mm,47.37mm,Top,90
R11,50.8mm,47.37mm,Top,270
R12,98.04mm,30.73mm,Top,90
R13,99.19mm,15.88mm,Top,270
R14,94.49mm,66.04mm,Top,0
R15,94.36mm,69.47mm,Top,0
R16,94.23mm,73.28mm,Top,0
R17,95.25mm,15.88mm,Top,270
R18,71.88mm,76.96mm,Top,0
R19,71.88mm,74.42mm,Top,0
R20,71.88mm,71.88mm,Top,0
R21,71.88mm,69.34mm,Top,0
R22,71.88mm,66.8mm,Top,0
R23,71.88mm,64.26mm,Top,0
R24,71.88mm,61.85mm,Top,0
R25,71.88mm,59.18mm,Top,0
R26,71.88mm,56.77mm,Top,0
R27,71.88mm,54.1mm,Top,0
R28,88.9mm,14.35mm,Top,0
R29,89.03mm,10.92mm,Top,0
U1,61.98mm,23.5mm,Top,270
U2,46.75mm,46.84mm,Top,270
U3,88.52mm,33.53mm,Top,90
Y1,107.1mm,39.1mm,Top,90
