"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DISTRIBUTOR";"DISTRIBUTOR_PART_NUMBER";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"NOTES";"PACKAGE";"PARTNUMBER";"PART_NO";"PIE-DIGIKEY-PN-ALT1";"PIE-DIGIKEY-PN-PRI";"PIE-INT-REF-NUM";"PROD_ID";"SF_ID";"VALUE";"VENDOR";
"1";"";"BUZZER3.3VBUZZER";"BUZZER_3.3V";"BUZ1";"Buzzer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"JMP-OPTION";"1X03-JMP-OPTION";"JP6";"A 3 pin header with silk screen indicating jumper positions to select an option.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"";"LED0805";"LED-0805";"LED1, LED2, LED3, LED4, LED5";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";
"1";"";"M041X04-MTA";"1X04-MTA";"JP1";"4-pin 0.1-inch header and MTA connector";"";"";"";"";"";"";"";"";"";"";"";"MTA";"";"";"";"";
"1";"";"TPS563200";"SOT-23_6PIN_COPY";"U2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";".1uF";"CAP0603-CAP";"0603-CAP";"C5, C8";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";
"2";"100k";"R-US_R0603";"R0603";"R5, R6";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";">VALUE";"";
"5";"10k";"R-US_R0603";"R0603";"R1, R2, R8, R10, R13";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";">VALUE";"";
"2";"18pF";"CAP0603-CAP";"0603-CAP";"C13, C14";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";
"7";"2.2uF";"CAP0603-CAP";"0603-CAP";"C1, C2, C3, C4, C12, C15, C16";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";
"10";"220R";"R-US_R0603";"R0603";"R19, R20, R21, R22, R23, R24, R25, R26, R27, R28";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";">VALUE";"";
"2";"22R";"R-US_R0603";"R0603";"R11, R12";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";">VALUE";"";
"3";"22uF";"C-USC0805";"C0805";"C9, C10, C11";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22uF";"CAP0805";"0805";"C6, C7";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";
"2";"3.3k";"R-US_R0603";"R0603";"R3, R4";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";">VALUE";"";
"1";"3.3uH";"MWSA0420S_INDUCTORMW";"MWSA0402S";"L1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"330R";"R-US_R0603";"R0603";"R14, R15, R16, R17, R18";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";">VALUE";"";
"1";"56.2k";"R-US_R0603";"R0603";"R9";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";">VALUE";"";
"1";"5m";"R-US_R2512";"R2512";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"RESISTOR-GENERIC";"";"";"";"";
"1";"8MHZ_X50328MSB2GI";"8MHZ_X50328MSB2GI";"SMD-5032_2P";"Y1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"ANDERSONVERTICAL";"ANDERSONVERTICAL";"ANDERSON_VERTICAL";"CONN1, CONN2, CONN3";"2-pin 25A Anderson Connector";"";"";"";"";"";"";"";"";"";"";"";"Anderson";"";"";"";"";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"U3";"";"";"";"";"";"";"";"";"";"";"ATMEGA32U4-MURCT-ND";"ATMEGA32U4RC-MURCT-ND";"ATmega32U4";"";"";"";"";
"4";"ATX";"ATX";"ATX";"JP2, JP3, JP4, JP5";"ATX 2 Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AVR_SPI_PRG_6MA03-2";"AVR_SPI_PRG_6MA03-2";"MA03-2";"J3";"AVR ISP 6 Pin";"";"";"";"";"";"";"";"";"";"";"";"BULK-STOCK";"";"";"";"";
"1";"BAR_SEGMENT_DISPLAY";"BAR_SEGMENT_DISPLAY";"BAR_SEGMENT_DISPLAY";"LED6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BQ7692006PWRPW20-M";"BQ7692006PWRPW20-M";"PW20-M";"U1";"";"";"";"";"";"BQ7692006PWR";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";
"2";"BZT52C2VXX_ZENER";"BZT52C2VXX_ZENER";"SOD-123";"D2, D3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CSD17577Q3A";"NMOS_CSD17579Q3A";"DNH0008A";"M1";"";"";"";"";"";"CSD17577Q3A";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";
"1";"D_MBR1020VL";"D_MBR1020VL";"SOD-123FL";"D1";"";"";"";"";"";"";"";"";"";"MBR1020VL";"";"";"";"";"";"";"";
