Designator,Mid X,Mid Y,Layer,Rotation
C1,54.1,30.86,Top,270
C2,56.39,30.99,Top,270
C3,62.74,31.75,Top,270
C4,59.94,31.62,Top,270
C5,63.12,16.51,Top,0
C6,38.61,46.48,Top,270
C7,40.64,46.48,Top,270
C8,47.12,50.04,Top,180
C9,36.2,52.96,Top,0
C10,36.2,58.93,Top,0
C11,36.2,56.01,Top,0
C12,83.19,18.54,Top,90
C13,107.33,43.53,Top,180
C14,107.48,34.4,Top,180
C15,77.6,28.58,Top,0
C16,88.52,24,Top,90
D1,53.47,24.38,Top,270
D2,39.12,40.09,Top,270
D3,27.9,55.37,Top,180
L1,32.31,49.02,Top,270
LED1,99.82,10.16,Top,270
LED2,100.2,74.55,Top,0
LED3,100.2,69.34,Top,0
LED4,100.08,64.26,Top,0
LED5,95.12,10.29,Top,270
M1,33.78,23.11,Top,0
R1,50.04,22.61,Top,270
R2,65.79,31.75,Top,270
R3,72.39,32,Top,90
R4,75.31,32,Top,90
R5,66.8,17.02,Top,270
R6,69.47,32,Top,270
R7,31.12,15.75,Top,180
R8,44.83,43.05,Top,0
R9,53.21,47.37,Top,90
R10,50.8,47.37,Top,270
R11,89.03,10.92,Top,0
R12,88.9,14.35,Top,0
R13,98.04,30.73,Top,90
R14,99.19,15.88,Top,270
R15,94.49,66.04,Top,0
R16,94.36,69.47,Top,0
R17,94.23,73.28,Top,0
R18,95.25,15.88,Top,270
R19,71.88,76.96,Top,0
R20,71.88,74.42,Top,0
R21,71.88,71.88,Top,0
R22,71.88,69.34,Top,0
R23,71.88,66.8,Top,0
R24,71.88,64.26,Top,0
R25,71.88,61.85,Top,0
R26,71.88,59.18,Top,0
R27,71.88,56.77,Top,0
R28,71.88,54.1,Top,0
U1,61.98,23.5,Top,270
U2,46.75,46.84,Top,180
U3,88.52,33.53,Top,0
Y1,107.1,39.1,Top,90
