"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","XC1282CT-ND","ECS-160-20-5PX-TR","CRYSTAL 16.0000MHZ 20PF SMD","","2","0","0.30000","0.60"
"2","2","ATMEGA32U4-AURCT-ND","ATMEGA32U4-AUR","IC MCU 8BIT 32KB FLASH 44TQFP","","2","0","4.20000","8.40"
"3","10","1276-1005-1-ND","CL10B104KO8NNNC","CAP CER 0.1UF 16V X7R 0603","","10","0","0.02900","0.29"
"4","10","CR0603-JW-104ELFCT-ND","CR0603-JW-104ELF","RES SMD 100K OHM 5% 1/10W 0603","","10","0","0.01500","0.15"
"5","5","1276-6455-1-ND","CL21A106KOQNNNG","CAP CER 10UF 16V X5R 0805","","5","0","0.17000","0.85"
"6","25","P150HCT-ND","ERJ-3EKF1500V","RES SMD 150 OHM 1% 1/10W 0603","","25","0","0.06500","1.63"
"7","10","1276-1182-1-ND","CL10A105KP8NNNC","CAP CER 1UF 10V X5R 0603","","10","0","0.03800","0.38"
"8","5","1276-1040-1-ND","CL10A225KO8NNNC","CAP CER 2.2UF 16V X5R 0603","","5","0","0.13000","0.65"
"9","4","311-1424-1-ND","CC0603JRNPO9BN200","CAP CER 20PF 50V C0G/NPO 0603","","4","0","0.10000","0.40"
"10","10","A130094CT-ND","CRGCQ0603J3K3","CRGCQ 0603 3K3 5%","","10","0","0.02200","0.22"
"11","2","445-6581-1-ND","VLP8040T-3R3N","FIXED IND 3.3UH 5.2A 20 MOHM SMD","","2","0","0.60000","1.20"
"12","11","A130087CT-ND","CRGCQ0603J220R","CRGCQ 0603 220R 5%","","11","0","0.02200","0.24"
"13","4","478-1171-1-ND","06035A470JAT2A","CAP CER 47PF 50V C0G/NP0 0603","","4","0","0.10000","0.40"
"14","2","587-4280-1-ND","JMK212BBJ476MG-T","CAP CER 47UF 6.3V X5R 0805","","2","0","0.42000","0.84"
"15","10","RMCF0603FT499KCT-ND","RMCF0603FT499K","RES 499K OHM 1% 1/10W 0603","","10","0","0.01700","0.17"
"16","10","A129697CT-ND","CRGCQ0603F5K6","CRGCQ 0603 5K6 1%","","10","0","0.03100","0.31"
"17","10","CR0603-FX-5622ELFCT-ND","CR0603-FX-5622ELF","RES SMD 56.2K OHM 1% 1/10W 0603","","10","0","0.03100","0.31"
"18","2","541-2621-1-ND","WSHM28185L000FEA","RES 0.005 OHM 1% 7W 2818","","2","0","1.78000","3.56"
"19","3","1276-2119-1-ND","CL10B822KB8NNNC","CAP CER 8200PF 50V X7R 0603","","3","0","0.10000","0.30"
"20","2","296-39960-1-ND","BQ7692006PWR","IC BATT MGMT LI-ION AFE 20TSSOP","","2","0","2.88000","5.76"
"21","1","CKN10650-ND","K12ABK15N","SWITCH PUSH SPST-NO 0.1A 30V","","1","0","2.37000","2.37"
"22","3","497-17143-1-ND","STD20NF06LAG","MOSFET N-CHANNEL 60V 24A DPAK","","3","0","0.89000","2.67"
"23","1","2073-USB3090-30-ACT-ND","USB3090-30-A","MICRO A/B SKT,BOTTOM-SMT, R/A, 3","","1","0","0.73000","0.73"
"24","2","296-47371-1-ND","TPS563210ADDFR","IC REG BUCK ADJ 3A TSOT23-8","","2","0","1.65000","3.30"
"25","2","MBR1020VLCT-ND","MBR1020VL","DIODE SCHOTTKY 20V 1A SOD123F","","2","0","0.26000","0.52"
