"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DISTRIBUTOR";"DISTRIBUTOR_PART_NUMBER";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NO";"MANUFACTURER_PART_NUMBER";"NOTES";"PACKAGE";"PARTNUMBER";"PIE-INT-REF-NUM";"PROD_ID";"REFDES";"SF_ID";"TYPE";"VALUE";"VENDOR";
"1";"";"ATMEGA328PB-AU";"TQFP32-08";"U3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_02";"1X02";"J12";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_05X2NO_SILK";"2X5_NOSILK";"J11";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"ECX-53BSMDCRYSTAL";"SMD_CRYSTAL";"Y1";"";"";"";"";"";"";"ECS-80-18-30B-AGN-TR";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"M03PTH";"1X03";"J9";"3-pin 0.1-inch header and MTA connector";"";"";"";"";"";"";"";"";"";"";"BULK-STOCK";"";"";"";"";"";"";
"1";"";"M041X04-MTA";"1X04-MTA";"J2";"4-pin 0.1-inch header and MTA connector";"";"";"";"";"";"";"";"";"";"";"MTA";"";"";"";"";"";"";
"2";".1uF";"CAP0603-CAP";"0603-CAP";"C4, C6";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"1";"100";"R-US_R0603";"R0603";"R4";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";">VALUE";"";
"1";"1000pF";"CAP0603-CAP";"0603-CAP";"C7";"Capacitor";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"1";"100k";"R-US_R0603";"R0603";"R20";"RESISTOR, American symbol";"RESISTOR, American symbol";"DigiKey";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";">VALUE";"";
