"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEETURL";"DCR";"DESCRIPTION";"DISTRIBUTOR";"DISTRIBUTOR_PART_NUMBER";"IDC";"L";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NO";"MANUFACTURER_PART_NUMBER";"NOTES";"PACKAGE";"PACKAGE_DESIGNATOR";"PARTNUMBER";"PART_NO";"PIE-DIGIKEY-PN-ALT1";"PIE-DIGIKEY-PN-PRI";"PIE-INT-REF-NUM";"PROD_ID";"REFDES";"SF_ID";"TYPE";"VALUE";"VENDOR";
"1";"";"BUZZER3.3VBUZZER";"BUZZER_3.3V";"LS2";"Buzzer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CRYSTAL10.5X4.8";"CRYSTAL-SMD-10.5X4.8-2PIN";"Y1";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ECS-160-20-3X-EN-TR";"";"";"CRYSTAL";"";"";"";"";"";"";
"2";"";"JMP-OPTION";"1X03-JMP-OPTION";"JP6, JP7";"A 3 pin header with silk screen indicating jumper positions to select an option.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"";"LED0805";"LED-0805";"LED1, LED2, LED3, LED4, LED5";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"";"";
"1";"";"M041X04-MTA";"1X04-MTA";"JP1";"4-pin 0.1-inch header and MTA connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MTA";"";"";"";"";"";"";
"2";".1uF";"CAP0603-CAP";"0603-CAP";"C4, C8";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"1";"100k";"R-US_R0603";"R0603";"R9";"RESISTOR, American symbol";"";"";"RESISTOR, American symbol";"DigiKey";"";"";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";"";"";"";">VALUE";"";
"5";"10k";"R-US_R0603";"R0603";"R1, R2, R8, R11, R12";"RESISTOR, American symbol";"";"";"RESISTOR, American symbol";"DigiKey";"";"";"";"Rohm Semiconductor";"";"";"";"Cut Tape";"R0603";"";"";"";"";"";"";"";"";"";"";">VALUE";"";
"2";"10uF";"CAP0805";"0805";"C5, C6";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAPACITOR-GENERIC";"";"";"";"";"";"";
"2";"10uF";"CAP_POLRADIAL";".248"CAP_THRU";"C11, C14";"Capacitor Polarized";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
