Designator,Mid X,Mid Y,Layer,Rotation
A1,68,-19.1134,top,0
A2,68,-29.1134,top,0
A3,68,-39.1134,top,0
A4,68,-49.1134,top,0
A5,68,-59.1134,top,0
B1,137.922,-48.514,top,0
Batt1,70.866,-99.568,top,180
C1,100.797288,-46.228,top,0
C2,100.695688,-53.8988,top,0
C3,143.5608,-70.8914,top,180
C4,142.5478,-74.295,top,90
C5,142.5448,-77.4446,top,90
C6,142.5448,-80.5942,top,-90
C7,136.7282,-70.612,top,0
Converter1,118.2878,-23.6728,top,180
D3,130.81,-96.266,top,0
DATA1,158.2,-87.498,top,90
F1,85.1408,-93.7768,top,90
J1,147.955,-46.8834,top,0
J2,70.7136,-90.6272,top,-90
Jst1,63.0936,-82.2706,top,0
Pro1,104.14,-87.122,top,90
Q1,120.3071,-76.9892,top,-90
R1,93.599,-95.505,top,90
R2,93.599,-92.393,top,90
R3,93.599,-84.582,top,-90
R4,93.599,-87.757,top,90
R5,93.599,-80.01,top,-90
R6,93.599,-76.898,top,90
R7,118.872,-86.487,top,90
R8,120.523,-86.487,top,90
R9,122.174,-86.487,top,90
R10,133.0198,-86.1822,top,90
R11,134.6454,-86.1822,top,90
R12,125.984,-86.487,top,-90
R13,127.635,-86.487,top,-90
R14,131.3942,-86.1822,top,-90
R15,122.0978,-75.1586,top,90
R16,123.7488,-75.1586,top,90
R17,153.8732,-88.4936,top,0
R18,153.8478,-86.487,top,0
R19,130.4544,-70.612,top,0
R20,133.604,-70.612,top,0
REF**,81.6856,-36.6776,top,0
REF**,152.9334,-102.0064,top,0
REF**,146.5064,-59.944,top,0
REF**,102.158,-65.1256,top,0
SW2,162.9156,-100.8634,top,0
Sw1,91.6178,-53.34,top,90
U2,147.2692,-76.9874,top,0
U3,133.2738,-76.9366,top,0
USB1,158.2,-27.498,top,90
USB2,158.2,-47.498,top,90
USB3,158.2,-67.498,top,90
Y1,142.1638,-85.6234,top,180
