Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Anderson_Horizontal","anderson_horizontal",68.000000,-19.113400,0.000000,top
"A2","Anderson_Horizontal","anderson_horizontal",68.000000,-29.113400,0.000000,top
"A3","Anderson_Horizontal","anderson_horizontal",68.000000,-39.113400,0.000000,top
"A4","Anderson_Horizontal","anderson_horizontal",68.000000,-49.113400,0.000000,top
"A5","Anderson_Horizontal","anderson_horizontal",68.000000,-59.113400,0.000000,top
"B1","Buzzer","Buzzer",137.922000,-48.514000,0.000000,top
"Batt1","XT60_F","AMASS_XT60-M_1x02_P7.20mm_Vertical",70.866000,-99.568000,180.000000,top
"C1","10u","CP_Radial_D5.0mm_P2.00mm",100.797288,-46.228000,0.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",100.695688,-53.898800,0.000000,top
"C3","0.1uF","C_0603_1608Metric",143.560800,-70.891400,180.000000,top
"C4","0.1uF","C_0603_1608Metric",142.547800,-74.295000,90.000000,top
"C5","22pF","C_0603_1608Metric",142.544800,-77.444600,90.000000,top
"C6","22pF","C_0603_1608Metric",142.544800,-80.594200,-90.000000,top
"C7","0.1u","C_0603_1608Metric",136.728200,-70.612000,0.000000,top
"Converter1","BUCK_CONVERTER_5V","5v_converter",118.287800,-23.672800,180.000000,top
"D3","4_digit_7_segment_display","LED-SEG-TH_12P-L30.0-W13.7-P2.54-S10.16-BL",130.810000,-96.266000,0.000000,top
"DATA1","USB","USB-A_female",158.200000,-87.498000,90.000000,top
"F1","Fuseholder","Fuse Holder SMD",85.140800,-93.776800,90.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",147.955000,-46.883400,0.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",70.713600,-90.627200,-90.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",149.800000,-92.800000,90.000000,top
"Jst1","JST-XH_4-pin","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",63.093600,-82.270600,0.000000,top
"Pro1","ProMicro","ProMicro-EnforcedTop",104.140000,-87.122000,90.000000,top
"Q1","s8050_JSMSEMI","s8050 JSMSEMI",120.307100,-76.989200,-90.000000,top
"R1","30000","R_0603_1608Metric",93.599000,-95.505000,90.000000,top
"R2","10000","R_0603_1608Metric",93.599000,-92.393000,90.000000,top
"R3","30000","R_0603_1608Metric",93.599000,-84.582000,-90.000000,top
"R4","10000","R_0603_1608Metric",93.599000,-87.757000,90.000000,top
"R5","30000","R_0603_1608Metric",93.599000,-80.010000,-90.000000,top
"R6","10000","R_0603_1608Metric",93.599000,-76.898000,90.000000,top
"R7","200","R_0603_1608Metric",118.872000,-86.487000,90.000000,top
"R8","200","R_0603_1608Metric",120.523000,-86.487000,90.000000,top
"R9","200","R_0603_1608Metric",122.174000,-86.487000,90.000000,top
"R10","200","R_0603_1608Metric",133.019800,-86.182200,90.000000,top
"R11","200","R_0603_1608Metric",134.645400,-86.182200,90.000000,top
"R12","200","R_0603_1608Metric",125.984000,-86.487000,-90.000000,top
"R13","200","R_0603_1608Metric",127.635000,-86.487000,-90.000000,top
"R14","200","R_0603_1608Metric",131.394200,-86.182200,-90.000000,top
"R15","3300","R_0603_1608Metric",122.097800,-75.158600,90.000000,top
"R16","1000","R_0603_1608Metric",123.748800,-75.158600,90.000000,top
"R17","22","R_0603_1608Metric",153.873200,-88.493600,0.000000,top
"R18","22","R_0603_1608Metric",153.847800,-86.487000,0.000000,top
"R19","4700","R_0603_1608Metric",130.454400,-70.612000,0.000000,top
"R20","4700","R_0603_1608Metric",133.604000,-70.612000,0.000000,top
"R21","10k","R_0402_1005Metric",71.800000,-72.600000,0.000000,top
"REF**","Hole_R1.62mm","Hole_R1.62mm",102.158000,-65.125600,0.000000,top
"REF**","Hole_R1.62mm","Hole_R1.62mm",152.933400,-102.006400,0.000000,top
"REF**","Hole_R1.62mm","Hole_R1.62mm",146.506400,-59.944000,0.000000,top
"REF**","Hole_R1.62mm","Hole_R1.62mm",81.685600,-36.677600,0.000000,top
"SW2","SW_SPDT","DEALON SS-12D01-G3",162.915600,-100.863400,0.000000,top
"SW3","SW_MEC_5E","SW_PUSH_6mm",68.650000,-76.100000,180.000000,top
"Sw1","D-SWITCH_MR5-111-C5N-BB","Rocker Switch",91.617800,-53.340000,90.000000,top
"U2","CH340G","CH340g",147.269200,-76.987400,0.000000,top
"U3","PCF8574","PCF8574T",133.273800,-76.936600,0.000000,top
"USB1","USB","USB-A_female",158.200000,-27.498000,90.000000,top
"USB2","USB","USB-A_female",158.200000,-47.498000,90.000000,top
"USB3","USB","USB-A_female",158.200000,-67.498000,90.000000,top
"Y1","12MHz","JYJE S1C12000VWFAC",142.163800,-85.623400,180.000000,top
