Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Anderson_Horizontal","anderson_horizontal",68.000000,-19.113400,0.000000,top
"A2","Anderson_Horizontal","anderson_horizontal",68.000000,-29.113400,0.000000,top
"A3","Anderson_Horizontal","anderson_horizontal",68.000000,-39.113400,0.000000,top
"A4","Anderson_Horizontal","anderson_horizontal",68.000000,-49.113400,0.000000,top
"A5","Anderson_Horizontal","anderson_horizontal",68.000000,-59.113400,0.000000,top
"B1","Buzzer","Buzzer",137.922000,-48.514000,0.000000,top
"Batt1","XT60_F","AMASS_XT60-M_1x02_P7.20mm_Vertical",70.866000,-99.568000,180.000000,top
"C1","22pF","C_0603_1608Metric",142.544800,-77.444600,90.000000,top
"C2","22pF","C_0603_1608Metric",142.544800,-80.594200,-90.000000,top
"C3","0.1uF","C_0603_1608Metric",142.547800,-74.295000,90.000000,top
"C4","0.1uF","C_0603_1608Metric",143.560800,-70.891400,180.000000,top
"C5","10u","CP_Radial_D5.0mm_P2.00mm",100.797288,-46.228000,0.000000,top
"C6","10u","CP_Radial_D5.0mm_P2.00mm",100.695688,-53.898800,0.000000,top
"C7","0.1u","C_0603_1608Metric",136.728200,-70.612000,0.000000,top
"C8","22u","C_1206_3216Metric",109.350000,-21.954000,0.000000,top
"C9","22u","C_1206_3216Metric",109.350000,-24.454000,0.000000,top
"C10","0.1u","C_1206_3216Metric",109.350000,-26.954000,0.000000,top
"C11","0.1u","C_0402_1005Metric",117.700000,-30.300000,90.000000,top
"C12","47u","C_1206_3216Metric",136.650000,-35.100000,90.000000,top
"C13","47u","C_1206_3216Metric",139.150000,-35.100000,90.000000,top
"C14","47u","C_1206_3216Metric",141.650000,-35.100000,90.000000,top
"C15","47u","C_1206_3216Metric",144.150000,-35.100000,90.000000,top
"C16","1u","C_0402_1005Metric",117.150000,-37.900000,-90.000000,top
"C17","1u","C_0402_1005Metric",111.000000,-36.104000,-90.000000,top
"D1","4_digit_7_segment_display","LED-SEG-TH_12P-L30.0-W13.7-P2.54-S10.16-BL",130.810000,-96.266000,0.000000,top
"DATA1","USB","USB-A_female",158.000000,-87.498000,90.000000,top
"F1","Fuseholder","Fuse Holder SMD",85.140800,-93.776800,90.000000,top
"J1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",70.713600,-90.627200,-90.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",147.955000,-46.883400,0.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",150.010000,-92.450000,90.000000,top
"Jst1","JST-XH_4-pin","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",63.093600,-82.270600,0.000000,top
"L1","1.8u","125CDMCCDS-1R8MC",130.770000,-24.750000,0.000000,top
"Pro1","ProMicro","ProMicro-EnforcedTop",104.140000,-87.122000,90.000000,top
"Q1","s8050_JSMSEMI","s8050 JSMSEMI",120.307100,-76.989200,-90.000000,top
"R1","30000","R_0603_1608Metric",93.599000,-95.505000,90.000000,top
"R2","30000","R_0603_1608Metric",93.599000,-84.582000,-90.000000,top
"R3","30000","R_0603_1608Metric",93.599000,-80.010000,-90.000000,top
"R4","10000","R_0603_1608Metric",93.599000,-92.393000,90.000000,top
"R5","10000","R_0603_1608Metric",93.599000,-87.757000,90.000000,top
"R6","10000","R_0603_1608Metric",93.599000,-76.898000,90.000000,top
"R7","200","R_0603_1608Metric",118.872000,-86.487000,90.000000,top
"R8","200","R_0603_1608Metric",125.984000,-86.487000,-90.000000,top
