Ref,Val,Package,PosX,PosY,Rot,Side
"C1","3300 p","C_1206_3216Metric",180.250000,-101.500000,0.000000,top
"C2","0.1 u","C_1206_3216Metric",176.250000,-107.500000,90.000000,top
"C_ADJ1","1000 p","C_1206_3216Metric",136.750000,-86.000000,90.000000,top
"C_BYP1","1 u","C_1206_3216Metric",117.000000,-85.975000,-90.000000,top
"C_IN1","33 u","C_1206_3216Metric",156.250000,-90.000000,-90.000000,top
"C_OUT1","100 u","C_1206_3216Metric",190.750000,-100.500000,-90.000000,top
"C_VCC1","0.47 u","C_1206_3216Metric",151.250000,-90.000000,-90.000000,top
"D1","D_Schottky_Filled","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",161.250000,-98.000000,180.000000,top
"GND1","TestPoint","TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded",151.750000,-110.000000,0.000000,top
"GND2","TestPoint","TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded",190.750000,-110.500000,0.000000,top
"L1","15 u","L_1206_3216Metric",183.825000,-92.500000,0.000000,top
"Q1","PMOS","PowerPAK_SO-8_Single",173.750000,-91.000000,0.000000,top
"R1","1 m","R_1206_3216Metric",190.250000,-92.500000,0.000000,top
"R_3","66.5 k","R_1206_3216Metric",172.250000,-101.500000,0.000000,top
"R_ADJ1","2.1 k","R_1206_3216Metric",131.750000,-86.000000,90.000000,top
"R_FB1","3.4 k","R_1206_3216Metric",138.250000,-98.000000,90.000000,top
"R_FB2","10 k","R_1206_3216Metric",143.750000,-102.500000,180.000000,top
"R_SEN1","0.01","R_1206_3216Metric",161.250000,-87.500000,0.000000,top
"R_T1","90.9 k","R_1206_3216Metric",125.250000,-86.000000,-90.000000,top
"SHUTDOWN1","TestPoint","TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded",125.000000,-98.000000,0.000000,top
"U1","~","LM25085-Q1",143.750000,-90.000000,0.000000,top
"V_IN1","7 V to 42 V","TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded",156.250000,-71.500000,0.000000,top
"V_OUT1","5 V","TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded",208.250000,-93.500000,0.000000,top
"V_SW1","TestPoint","TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded",168.750000,-80.500000,0.000000,top
"V_Testpoint1","7 V to 42 V","TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded",130.000000,-70.500000,0.000000,top
