"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","3300 p","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C2","0.1 u","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C_ADJ1","1000 p","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C_BYP1","1 u","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C_IN1","33 u","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C_OUT1","100 u","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C_VCC1","0.47 u","~","Capacitor_SMD:C_1206_3216Metric","1",""
"D1","D_Schottky_Filled","~","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"GND1,GND2,SHUTDOWN1,V_SW1","TestPoint","~","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","4",""
"L1","15 u","~","Inductor_SMD:L_1206_3216Metric","1",""
"Q1","PMOS","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","Package_SO:PowerPAK_SO-8_Single","1",""
"R1","1 m","~","Resistor_SMD:R_1206_3216Metric","1",""
"R_3","66.5 k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R_ADJ1","2.1 k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R_FB1","3.4 k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R_FB2","10 k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R_SEN1","0.01","~","Resistor_SMD:R_1206_3216Metric","1",""
"R_T1","90.9 k","~","Resistor_SMD:R_1206_3216Metric","1",""
"U1","~","","PiE_Footprints:LM25085-Q1","1",""
"V_IN1,V_Testpoint1","7 V to 42 V","~","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","2",""
"V_OUT1","5 V","~","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","1",""
